package,fedora_patch,debian_patch,type,fedora_time,debian_time
proj:mislav/hub,01-blackfriday-version.patch,0001-blackfriday-v2.patch,similar,2021-03-08 09:09:18,2021-02-18 09:21:24
url:plugin.org.uk,ladspa-swh-plugins-libgsm.patch,08-gsm_plugin.patch,similar,2007-10-09 13:11:08,2016-06-01 23:34:19
proj:hmatoba/piexif,python-piexif-fix-tests-pillow.patch,5209b53e9689ce28dcd045f384633378d619718f.patch,common,2021-01-20 10:29:05,2021-09-19 12:22:25
url:pyx-project.org,sphinx-no-eager-only.patch,sphinx-no-eager-only.patch,common,2020-03-19 19:21:17,2019-07-15 15:17:46
url:pyx-project.org,manual-pythonpath.patch,manual-pythonpath.patch,common,2020-03-19 19:21:17,2019-07-15 15:17:46
url:pyx-project.org,sphinx-local-mathjax.patch,sphinx-local-mathjax.patch,common,2020-03-19 19:21:17,2014-02-19 12:16:02
proj:rubyzip/rubyzip,rubygem-rubyzip-2.3.2-fix-test_extract_incorrect_size-in-s390x-arch.patch,0002-Fix-test-failure-in-s390x-due-to-array-pack-directiv.patch,similar,2022-08-25 11:45:33,2020-03-25 18:08:18
proj:jessevdk/go-flags,0001-Compare-date-using-SOURCE_DATE_EPOCH-in-both-cases.patch,source-date-epoch.diff,similar,2020-08-23 18:28:37,2020-04-05 18:56:33
url:zetacomponents.org,php-zetacomponents-base-layout.patch,0001-The-installed-package-mimics-a-PEAR-installation.patch,common,2015-06-29 16:32:21,2014-09-28 17:07:20
url:coderay.rubychan.de,rubygem-coderay-1.1.3-fix-tests-Array-on-ruby-3.0.patch,0007-Add-ruby3-support.patch,common,2021-03-01 09:56:34,2022-02-21 12:18:06
url:eq10q.sourceforge.net,lv2-eq10q-2.2-exp10.patch,05-pow10.patch,common,2023-11-12 10:32:52,2019-11-23 14:47:11
url:eq10q.sourceforge.net,lv2-eq10q-2.2-typefix.patch,0006-Fix-lv2-types.patch,similar,2023-11-12 10:32:52,2020-05-16 13:39:52
url:xblast.sourceforge.net,xblast-2.10.4-fcommon-fix.patch,020_fix-ftbfs-with-gcc-10.patch,common,2020-02-20 16:44:03,2024-11-21 16:24:02
url:ossp.org/pkg/tool/eperl,perl-eperl-5.16compat.patch,redhat-with-thr.diff,common,2012-08-06 08:48:22,2013-05-10 15:13:14
proj:json-parser/json-parser,0001-improve-pkgconfig-module-close-37.patch,upstream/0001-improve-pkgconfig-module-close-37.patch,common,2014-06-12 17:18:23,2020-04-21 03:52:58
url:ocamlsdl.sourceforge.net,ocamlsdl-0.9.1-safe-string.patch,0002-Fix-compilation-with-OCaml-4.08.0.patch,similar,2017-11-18 11:25:52,2019-09-06 07:35:43
proj:html5lib/html5lib-python,https://github.com/html5lib/html5lib-python/pull/506.patch,0001-Use-Node.from_parent-constructor-to-support-pytest-6.patch,common,2020-08-10 08:53:24,2021-01-13 08:34:07
proj:pysimplesoap/pysimplesoap,httplib2.patch,fix-httplib2-version-check.patch,common,2020-01-21 11:05:03,2018-12-15 17:23:50
proj:linux-usb-gadgets/libusbgx,libusbgx-fix-inc.patch,0002-add-missing-includes.patch,common,2018-04-22 18:07:55,2022-08-07 11:07:11
url:metacpan.org/release/pmtools,pmtools-2.0.0-t_pfcat_5.26.patch,t_pfcat_5.26.patch,common,2017-07-20 13:20:24,2017-06-24 17:37:15
url:nose.readthedocs.io/en/latest,python-nose-py35.patch,python3.5-qualname.diff,common,2016-11-15 21:31:09,2017-10-30 20:25:53
url:nose.readthedocs.io/en/latest,python-nose-coverage4.patch,coverage4.1.diff,common,2016-11-09 23:22:40,2017-10-30 20:25:53
url:metacpan.org/release/rpm-build-perl,rpm-build-perl-0.82-Adapt-tests-to-Perl-5.35.12.patch,rpm-build-perl-0.82-Adapt-tests-to-Perl-5.35.12.patch,common,2022-05-16 12:51:06,2022-06-08 15:42:38
url:metacpan.org/release/rpm-build-perl,rpm-build-perl-0.82-Port-to-OpSIBLING-like-macros-required-since-Perl-5..patch,Adjust-to-perl-5.26.patch,common,2017-06-05 10:03:39,2017-06-19 18:54:56
url:metacpan.org/release/rpm-build-perl,rpm-build-perl-0.82-Fix-non-deterministic-failures-on-newer-perls.patch,0001-Fix-non-deterministic-failures-on-newer-perls.patch,common,2013-07-24 08:14:01,2013-05-18 11:32:00
url:metacpan.org/release/rpm-build-perl,rpm-build-perl-0.82-Adjust-to-perl-5.22.patch,Adjust-to-perl-5.22.patch,common,2015-06-16 16:30:06,2015-08-20 20:36:54
url:code.google.com/archive/p/xmlrpc-light,debian_patches_0002-Compile-with-ocamlnet-3.3.5.patch,0002-Compile-with-ocamlnet-3.3.5.patch,common,2011-09-21 16:20:34,2011-07-21 22:40:47
url:wiki.sugarlabs.org/go/activities/memorize,Fix-use-of-getchildren-with-Element-object.patch,020210401~fe395f9.patch,common,2021-04-09 12:47:24,2021-12-16 12:08:23
db,db-5.3.28-cwd-db_config.patch,CVE-2017-10140-cwd-db_config.patch,common,2017-06-26 11:01:41,2019-01-31 14:19:21
dx,0007-dx-format-security.patch,50-format-security-fix.patch,similar,2014-02-27 15:23:10,2013-08-01 14:40:14
dx,0003-dx-gcc43.patch,10-gcc43-build-fix.patch,similar,2008-01-07 18:14:39,2013-07-04 11:20:38
dx,0008-dx-narrowing.patch,50-narrowing-conversion-fix.patch,similar,2016-02-18 03:56:55,2016-02-20 21:17:12
dx,0002-dx-open.patch,10-open-mode.patch,similar,2007-08-17 23:59:32,2013-06-13 14:52:06
gd,libgd-flip.patch,0004-Revert-upstream-318-fix-to-fix-the-PHP-5.6-8.0-FTBFS.patch,similar,2021-09-13 13:21:00,2022-07-11 08:24:21
lv,lv-+num-option.patch,20050502_~+num-pat-option.diff,common,2005-10-31 06:35:12,2014-03-20 13:37:50
lv,lv-no-sigvec.patch,sigvec.patch,common,2014-10-15 07:11:04,2015-04-27 12:56:01
lv,lv-fastio.patch,20050506_%src%file.c_~enable-fastio-use-fread.2.diff,common,2005-10-31 06:35:12,2014-03-20 13:37:50
lv,lv-c99.patch,fix_implicit_decls.diff,similar,2022-12-17 22:04:31,2020-11-15 09:48:48
sc,nonotimeout-ncurses6.patch,nonotimeout.patch,common,2016-07-19 15:42:18,2024-11-21 10:43:47
sc,call_function_not_take_its_address.patch,call_function_not_take_its_address,common,2014-11-05 18:33:59,2014-05-18 20:04:14
sc,Upstream-changes-from-old-versions.patch,Upstream-changes-from-old-versions,common,2014-11-05 18:33:59,2024-11-21 10:43:47
sc,function_definitions.patch,function_definitions,common,2014-11-05 18:33:59,2014-05-18 19:22:58
sc,format_security_fixes.patch,hardening,similar,2014-11-05 18:33:59,2024-11-21 10:43:47
arj,arj-3.10.22-security_format.patch,security_format.patch,common,2013-10-19 23:21:07,2013-05-09 15:28:27
arj,arj-3.10.22-security-traversal-symlink.patch,security-traversal-symlink.patch,common,2015-04-03 13:58:14,2005-08-04 19:21:09
arj,arj-3.10.22-security-traversal-dir.patch,security-traversal-dir.patch,common,2015-04-03 13:58:14,2005-11-24 01:31:33
arj,arj-3.10.22-arches_align.patch,001_arches_align.patch,common,2013-10-19 23:21:07,2003-11-11 08:16:04
arj,arj-3.10.22-security-afl.patch,security-afl.patch,common,2015-04-03 13:58:14,2015-02-26 12:06:27
arj,arj-3.10.22-use_safe_strcpy.patch,006_use_safe_strcpy.patch,common,2013-10-19 23:21:07,2010-07-26 12:11:24
arj,arj-3.10.22-no_remove_static_const.patch,002_no_remove_static_const.patch,common,2013-10-19 23:21:07,2005-08-04 19:21:09
arj,arj-3.10.22-64_bit_clean.patch,003_64_bit_clean.patch,common,2013-10-19 23:21:07,2005-11-24 01:31:33
arj,arj-3.10.22-doc_refer_robert_k_jung.patch,doc_refer_robert_k_jung.patch,common,2013-10-19 23:21:07,2008-05-29 01:04:34
