package,fedora_patch,debian_patch,type,fedora_time,debian_time
openscad,CVE-2022-0497.patch,Add-file-bounds-check-to-comment-parser.patch,common,2022-04-05 12:22:17+02:00,2022-02-13 10:52:49+01:00
openscad,openscad-2021.01-cgal-build-fix.patch,Backport-from-upstream-compile-fixes-for-CGAL-5.4.patch,common,2022-02-11 14:02:31-05:00,2022-02-13 16:17:03+01:00
openscad,openscad-2021.01-fix-overloaded-join.patch,Backport-upstream-patch-to-fix-a-FTBFS-in-sid.patch,common,2022-02-11 14:02:31-05:00,2022-02-13 16:45:14+01:00
openscad,CVE-2022-0496.patch,add-safety-to-line-lookups-in-DXF-import-fixes-4037.patch,common,2022-04-05 12:22:17+02:00,2022-02-13 10:52:49+01:00
openscad,openscad-cgal5.3.patch,cgal_ftbfs.patch,similar,2021-08-02 16:38:52+02:00,2021-09-24 19:10:49+02:00
opendkim,opendkim-CVE-2022-48521-fix.patch,rev-ares-deletion.patch,common,2023-11-15 10:36:20-03:00,2023-11-25 17:14:33+01:00
arj,arj-3.10.22-security-afl.patch,security-afl.patch,common,2015-04-03 15:58:14+02:00,2015-02-26 13:06:27+01:00
arj,arj-3.10.22-security-traversal-symlink.patch,security-traversal-symlink.patch,common,2015-04-03 15:58:14+02:00,2015-03-28 04:39:41+01:00
arj,arj-3.10.22-doc_refer_robert_k_jung.patch,doc_refer_robert_k_jung.patch,common,2013-10-20 01:21:07+02:00,2008-05-29 01:04:34+00:00
arj,arj-3.10.22-use_safe_strcpy.patch,006_use_safe_strcpy.patch,common,2013-10-20 01:21:07+02:00,2010-07-26 14:11:24+02:00
arj,arj-3.10.22-security-traversal-dir.patch,security-traversal-dir.patch,common,2015-04-03 15:58:14+02:00,2015-02-26 13:06:27+01:00
arj,arj-3.10.22-parallel_build.patch,004_parallel_build.patch,common,2013-10-20 01:21:07+02:00,2007-12-06 23:08:43+00:00
arj,arj-3.10.22-security_format.patch,security_format.patch,common,2013-10-20 01:21:07+02:00,2013-05-09 17:28:27+02:00
arj,arj-3.10.22-no_remove_static_const.patch,002_no_remove_static_const.patch,common,2013-10-20 01:21:07+02:00,2005-08-04 19:21:09+00:00
arj,arj-3.10.22-64_bit_clean.patch,003_64_bit_clean.patch,common,2013-10-20 01:21:07+02:00,2005-11-24 01:31:33+00:00
arj,arj-3.10.22-arches_align.patch,001_arches_align.patch,common,2013-10-20 01:21:07+02:00,2003-11-11 08:16:04+00:00
wordnet,wordnet-3.0-CVE-2008-2149.patch,50_CVE-2008-2149_buffer_overflows.patch,common,2009-06-05 11:58:55+00:00,2008-05-15 18:48:33+00:00
wordnet,wordnet-3.0-src_stubs_c.patch,20_src_stubs_c.patch,common,2009-06-05 11:58:55+00:00,2008-05-13 05:59:21+00:00
wordnet,wordnet-3.0-CVE-2008-3908.patch,51_overflows.patch,similar,2009-06-05 11:58:55+00:00,2008-09-05 13:19:15+00:00
bogl,bogl-0.1.18-noexecstack.patch,executable-stack,common,2006-11-10 16:13:21+00:00,2015-12-26 15:17:15+01:00
bogl,bogl-0.1.18-format-security.patch,unsafe-format,common,2014-02-04 12:32:09+01:00,2015-12-26 15:17:15+01:00
bogl,bogl-0.1.18-fix-multiple-definition.patch,no-common,similar,2020-02-18 09:58:13+01:00,2020-04-17 13:58:16+02:00
djvulibre,djvulibre-3.5.27-check-image-size.patch,0003-djvulibre-fedora-Patch8-djvulibre-3.5.27-check-image.patch,common,2021-05-04 16:31:35+02:00,2021-05-10 19:01:43+01:00
djvulibre,djvulibre-3.5.22-cdefs.patch,0001-djvulibre-fedora-Patch0-djvulibre-3.5.22-cdefs.patch.patch,common,2011-01-31 14:26:28+01:00,2021-05-10 19:01:43+01:00
djvulibre,djvulibre-3.5.27-integer-overflow.patch,0004-djvulibre-fedora-Patch9-djvulibre-3.5.27-interger-ov.patch,common,2021-05-04 16:33:42+02:00,2021-05-10 19:01:43+01:00
djvulibre,djvulibre-3.5.27-unsigned-short-overflow.patch,0007-djvulibre-fedora-Patch12-djvulibre-3.5.27-unsigned-s.patch,common,2021-05-04 16:42:06+02:00,2021-05-10 19:01:43+01:00
djvulibre,djvulibre-3.5.27-check-input-pool.patch,0005-djvulibre-fedora-Patch10-djvulibre-3.5.27-check-inpu.patch,common,2021-05-04 16:34:26+02:00,2021-05-10 19:01:43+01:00
djvulibre,djvulibre-3.5.27-djvuport-stack-overflow.patch,0006-djvulibre-fedora-Patch11-djvulibre-3.5.27-djvuport-s.patch,common,2021-05-04 16:40:30+02:00,2021-05-10 19:01:43+01:00
openvpn-auth-ldap,auth-ldap-tools-CFLAGS.patch,tools-cflags.patch,common,2019-10-25 16:52:01-06:00,2019-08-07 12:45:18+02:00
openvpn-auth-ldap,auth-ldap-remoteAddress.patch,auth-ldap-remoteAddress.patch,similar,2019-10-25 16:52:01-06:00,2019-08-07 12:45:18+02:00
zip,zipnote.patch,07-fclose-in-file-not-fclose-x.patch,common,2015-01-28 16:33:43+01:00,2011-06-09 15:30:08+02:00
zip,zip-3.0-exec-shield.patch,06-stack-markings-to-avoid-executable-stack.patch,common,2009-11-16 12:26:10+00:00,2010-02-21 17:08:02+01:00
zip,zip-3.0-format-security.patch,08-hardening-build-fix-1.patch,common,2014-04-01 07:42:36+01:00,2012-05-21 19:17:26+02:00
python-iniparse,0006-Fix-compatibility-issues-with-Python-3.11.patch,backport/0003-Fix-compatibility-issues-with-Python-3.11.patch,common,2023-07-06 23:27:05-04:00,2022-06-08 22:30:15-04:00
zeitgeist,zeitgeist-1.0.4-0001-datahub-Fix-wrong-parameter-for-Event.full-ctor.patch,020220909~1be2a5f.patch,common,2022-09-10 22:07:20+09:00,2022-09-17 16:05:47+02:00
golang-github-google-gofuzz,0001-Fix-int-overflow.patch,0001-Fix-int-overflow-on-32-bits-systems-59.patch,common,2021-01-02 21:39:02+01:00,2021-01-26 01:54:49+08:00
dvd+rw-tools,dvd+rw-tools-7.0-glibc2.6.90.patch,08-includes.patch,common,2007-08-15 11:02:30+00:00,2009-08-27 07:12:05+02:00
dvd+rw-tools,dvd+rw-tools-7.0-dvddl.patch,03-growisofs-dvd-dl.patch,common,2008-12-17 12:34:17+00:00,2009-08-27 07:12:05+02:00
dvd+rw-tools,dvd+rw-tools-7.1-bluray_srm+pow.patch,10-blue-ray-bug713016.patch,common,2013-06-24 16:54:01+02:00,2017-08-07 19:02:05+09:00
dvd+rw-tools,dvd+rw-tools-7.1-bluray_pow_freespace.patch,ignore_pseudo_overwrite.patch,common,2014-11-20 10:50:39+01:00,2011-03-07 12:32:19-03:00
dvd+rw-tools,dvd+rw-tools-7.0-wctomb.patch,09-wctomb.patch,common,2008-03-26 08:00:47+00:00,2009-08-27 07:12:05+02:00
cutecom,cutecom-0.51.0-painterpath.patch,qt-5-15-build-fix.patch,common,2021-03-06 19:54:22-05:00,
tayga,tayga-c99.patch,0010-include-for-writev.patch,common,2023-01-02 08:59:33+01:00,2019-02-19 14:32:20+00:00
liquidwar,liquidwar-5.6.5-python3.patch,python3.patch,similar,2019-08-01 12:54:43-05:00,2019-08-11 23:16:07+02:00
plib,plib-1.8.5-spelling_errors.patch,06_spelling_errors.diff,common,2022-05-13 22:54:30+02:00,2017-07-24 20:10:49+02:00
