package,common,same_func_diff_content,unique_fedora,unique_other,has_patch,patch_count
openscad,4,1,1,12,1,18
gocr,0,0,1,3,1,4
python-caja,0,0,1,3,1,4
golang-github-nytimes-gziphandler,0,0,0,0,0,0
lcdproc,0,0,2,6,1,8
backuppc,0,0,1,10,1,11
tetgen,0,0,1,2,1,3
jsch,0,0,0,1,1,1
thc-ipv6,0,0,0,2,1,2
python-dbfread,0,0,0,1,1,1
python-xstatic-jquery-migrate,0,0,0,0,0,0
qstat,0,0,0,3,1,3
opendkim,1,0,3,14,1,18
pamixer,0,0,0,0,0,0
python-oauthlib,0,0,0,0,0,0
arj,10,0,3,13,1,26
cohomcalg,0,0,0,3,1,3
ocamlify,0,0,2,2,1,4
compizconfig-python,0,0,0,0,0,0
gupnp-av,0,0,0,0,0,0
python-q,0,0,1,0,1,1
marisa,0,0,0,4,1,4
vlc,0,0,9,2,1,11
cowsql,0,0,0,0,0,0
qm-dsp,0,0,2,1,1,3
docbook2x,0,0,0,6,1,6
splint,0,0,0,20,1,20
epix,0,0,0,0,0,0
lib3ds,0,0,3,1,1,4
rust-difflib,0,0,1,0,1,1
mftrace,0,0,3,3,1,6
chromium-bsu,0,0,0,0,0,0
python-text-unidecode,0,0,0,0,0,0
rust-locale,0,0,1,0,1,1
fcitx-skk,0,0,0,0,0,0
python-xmltodict,0,0,0,0,0,0
globus-xio,0,0,0,0,0,0
wordnet,2,1,7,16,1,26
gpm,0,0,6,21,1,27
xautomation,0,0,0,3,1,3
bogl,2,1,6,31,1,40
oddjob,0,0,2,1,1,3
udftools,0,0,1,0,1,1
djvulibre,6,0,3,1,1,10
stormbaancoureur,0,0,4,2,1,6
pyjokes,0,0,0,2,1,2
golang-github-rfjakob-eme,0,0,0,0,0,0
joe,0,0,7,4,1,11
sbd,0,0,3,2,1,5
jo,0,0,0,0,0,0
octave-io,0,0,0,3,1,3
jssc,0,0,2,2,1,4
libvisio,0,0,0,0,0,0
globus-gass-transfer,0,0,0,0,0,0
arachne-pnr,0,0,0,4,1,4
deepin-image-viewer,0,0,1,2,1,3
devio,0,0,1,0,1,1
httpcomponents-core,0,0,2,1,1,3
ucl,0,0,0,8,1,8
golang-github-powerman-deepequal,0,0,0,0,0,0
rkdeveloptool,0,0,1,1,1,2
radvd,0,0,0,4,1,4
python-astor,0,0,0,1,1,1
zxcvbn-c,0,0,0,2,1,2
cryfs,0,0,2,2,1,4
openvpn-auth-ldap,1,1,0,1,1,3
pax-utils,0,0,1,1,1,2
python-logutils,0,0,1,3,1,4
python-path-and-address,0,0,2,0,1,2
golang-github-tidwall-sjson,0,0,0,0,0,0
libabw,0,0,0,0,0,0
libepubgen,0,0,0,0,0,0
golang-github-cosiner-argv,0,0,0,0,0,0
python-django-gravatar2,0,0,0,1,1,1
golang-github-d2g-dhcp4client,0,0,0,0,0,0
zip,3,0,5,8,1,16
rust-filedescriptor,0,0,1,1,1,2
rust-pin-utils,0,0,0,0,0,0
rsakeyfind,0,0,2,2,1,4
fstrcmp,0,0,0,0,0,0
libdvbpsi,0,0,0,1,1,1
python-iniparse,1,0,1,2,1,4
ruby-bsearch,0,0,0,0,0,0
zeitgeist,1,0,0,4,1,5
python-iniconfig,0,0,0,0,0,0
golang-github-google-gofuzz,1,0,0,0,1,1
dvd+rw-tools,4,0,8,9,1,21
python-oauth2client,0,0,3,6,1,9
cutecom,1,0,2,1,1,4
golang-github-alecthomas-chroma,0,0,0,0,0,0
rust-getopts,0,0,0,2,1,2
since,0,0,0,5,1,5
xosview,0,0,1,0,1,1
gnugo,0,0,1,3,1,4
lingot,0,0,0,0,0,0
gbrainy,0,0,1,0,1,1
golang-github-minio-highwayhash,0,0,0,1,1,1
tcptrack,0,0,0,1,1,1
sndfile-tools,0,0,4,0,1,4
rust-executable-path,0,0,0,0,0,0
zathura-ps,0,0,0,0,0,0
lua-event,0,0,2,0,1,2
xvkbd,0,0,0,3,1,3
tayga,1,0,2,10,1,13
luminance-hdr,0,0,8,5,1,13
quadrapassel,0,0,0,0,0,0
duktape,0,0,1,2,1,3
abi-tracker,0,0,0,0,0,0
python-typepy,0,0,0,0,0,0
liboggz,0,0,1,2,1,3
pamtester,0,0,1,2,1,3
liquidwar,0,1,0,6,1,7
icon-naming-utils,0,0,1,6,1,7
woff2,0,0,1,2,1,3
mmc-utils,0,0,1,2,1,3
neartree,0,0,2,1,1,3
dataquay,0,0,0,4,1,4
multicat,0,0,0,0,0,0
python-xstatic-bootswatch,0,0,0,1,1,1
git-filter-repo,0,0,1,1,1,2
rust-rusty-fork,0,0,0,1,1,1
cmake-fedora,0,0,0,0,0,0
frescobaldi,0,0,1,0,1,1
deepin-sound-theme,0,0,0,0,0,0
plib,5,0,3,4,1,12
sound-theme-freedesktop,0,0,0,0,0,0
ck,0,0,4,3,1,7
codeblocks,0,0,2,3,1,5
wbox,0,0,0,2,1,2
nomarch,0,0,0,0,0,0
libecpint,0,0,0,1,1,1
rust-lab,0,0,1,0,1,1
pngnq,0,0,3,5,1,8
chkrootkit,1,0,5,83,1,89
vobcopy,0,0,1,1,1,2
rust-ufmt-write,0,0,0,0,0,0
tagsoup,0,0,2,2,1,4
golang-github-elazarl-goproxy,0,0,0,2,1,2
gpick,0,0,0,0,0,0
calligraplan,0,0,0,0,0,0
symmetrica,0,0,4,0,1,4
ocaml-logs,0,0,3,0,1,3
gtk-vnc,0,0,0,0,0,0
ahcpd,0,0,0,2,1,2
rust-num-rational,0,0,0,1,1,1
libyaml,0,0,0,0,0,0
gnome-shell-extension-gamemode,0,0,0,0,0,0
golang-github-kr-binarydist,0,0,0,0,0,0
lxinput,0,0,0,0,0,0
atlas,1,0,15,10,1,26
jcal,0,0,0,3,1,3
capstats,0,0,1,0,1,1
xclip,0,0,1,7,1,8
aspell-hi,0,0,0,0,0,0
