package,common,same_func_diff_content,unique_fedora,unique_other,has_patch,patch_count
python-flit-scm,0,0,0,1,1,1
barebonesbrowserlaunch,0,0,0,0,0,0
python-croniter,0,0,1,0,1,1
ocaml-xml-light,0,0,0,0,0,0
softhsm,0,0,4,0,1,4
zegrapher,0,0,0,0,0,0
irssi,1,0,0,0,1,1
sblim-sfccommon,0,0,0,0,0,0
xfce-polkit,0,0,0,0,0,0
python-requests-toolbelt,0,0,0,0,0,0
python-gunicorn,0,0,1,0,1,1
perl-cpan-meta-yaml,0,0,0,0,0,0
hunspell-zu,0,0,0,0,0,0
vconfig,1,0,0,1,1,2
perl-cpan-meta-requirements,0,0,0,0,0,0
perl-sub-info,0,0,0,0,0,0
python-sphinxemoji,0,0,0,0,0,0
unzip,25,2,8,5,1,40
hunspell-gv,0,0,0,0,0,0
perl-test-minimumversion,0,0,0,0,0,0
sscg,0,0,1,0,1,1
perl-file-fcntllock,0,0,0,0,0,0
libtar,6,0,3,3,1,12
gutenprint,7,0,1,0,1,8
jsch,0,0,0,0,0,0
python-coverage,0,0,0,0,0,0
xorg-x11-drv-qxl,2,0,0,0,1,2
perl-module-install-readmefrompod,2,0,0,0,1,2
gl-manpages,0,0,0,0,0,0
rubygem-marcel,0,0,1,0,1,1
ruby-mecab,0,0,0,0,0,0
ppp,1,0,1,5,1,7
openoffice-lv,0,0,0,0,0,0
python-smartypants,0,0,0,0,0,0
perl-ppix-regexp,0,0,0,0,0,0
perl-test-memory-cycle,0,0,0,0,0,0
at,10,4,2,1,1,17
python-pydotplus,0,0,0,0,0,0
mod_lookup_identity,0,0,0,0,0,0
clutter-gtk,0,0,0,0,0,0
perl-digest-hmac,0,0,0,0,0,0
hunspell-hy,0,0,0,0,0,0
dbusmenu-qt,0,0,0,0,0,0
tibetan-machine-uni-fonts,0,0,0,0,0,0
python-shellingham,0,0,0,0,0,0
python-oauthlib,0,0,0,0,0,0
ilmbase,3,0,0,0,1,3
perl-list-moreutils,0,0,0,0,0,0
cloud-utils,0,0,0,0,0,0
iio-sensor-proxy,0,0,0,0,0,0
perl-data-optlist,0,0,0,0,0,0
python-routes,0,0,1,0,1,1
hunspell-cy,0,0,0,0,0,0
python-sphinx-bootstrap-theme,0,0,0,0,0,0
latex2html,0,0,2,0,1,2
perl-task-weaken,0,0,0,0,0,0
perl-package-stash-xs,0,0,0,0,0,0
perl-class-tiny,0,0,0,0,0,0
farstream02,1,0,1,0,1,2
python-xvfbwrapper,0,0,0,0,0,0
python-sphinxcontrib-log-cabinet,0,0,0,0,0,0
perl-time-local,0,0,0,0,0,0
check,2,0,0,0,1,2
gupnp-av,0,0,0,1,1,1
hunspell-sk,0,0,0,0,0,0
gtksourceview2,4,0,3,0,1,7
hunspell-fo,0,0,0,0,0,0
firebird,8,0,1,1,1,10
liblognorm,2,0,1,0,1,3
mpfr,0,0,0,0,0,0
marisa,0,0,0,0,0,0
jtidy,0,0,1,0,1,1
python-httmock,0,0,0,0,0,0
perl-net-snmp,0,0,5,0,1,5
libstatgrab,0,0,0,0,0,0
hunspell-bn,0,0,0,0,0,0
libtasn1,0,0,1,1,1,2
docbook2x,0,0,0,1,1,1
rubygem-bacon,0,0,0,0,0,0
libgxps,0,0,0,0,0,0
r-magrittr,0,0,0,0,0,0
recode,0,0,2,0,1,2
rubygem-ascii85,0,0,0,0,0,0
perl-canary-stability,0,0,0,0,0,0
cdbs,0,0,0,0,0,0
python-rst-linker,0,0,0,0,0,0
python-pytest-shutil,0,0,0,1,1,1
hunspell-hil,0,0,0,0,0,0
hunspell-ne,0,0,0,0,0,0
b43-openfwwf,0,0,0,0,0,0
hyphen-id,0,0,0,0,0,0
indent,0,0,4,3,1,7
perl-config-inifiles,0,0,0,0,0,0
python-funcparserlib,0,0,0,0,0,0
perl-file-readbackwards,0,0,0,0,0,0
libaesgm,1,0,1,0,1,2
wmctrl,1,0,0,0,1,1
python-sphinx-copybutton,0,0,0,0,0,0
usb_modeswitch-data,0,0,0,0,0,0
docbook5-style-xsl,0,0,0,0,0,0
python-yappi,0,0,1,0,1,1
maven-shared-io,1,0,0,0,1,1
rubygem-sassc,0,1,1,0,1,2
python-sortedcontainers,0,0,0,0,0,0
libxfixes,0,0,0,0,0,0
ebtables,0,0,0,2,1,2
libxrender,0,0,0,0,0,0
irrlicht,5,0,2,0,1,7
perl-ipc-system-simple,0,0,0,0,0,0
libsm,0,0,0,0,0,0
ding-libs,0,0,0,0,0,0
python-xmltodict,0,0,0,0,0,0
libnetfilter_queue,0,0,0,0,0,0
apache-commons-math,0,0,0,0,0,0
libglvnd,0,0,1,1,1,2
flann,2,0,2,1,1,5
perl-poe,0,0,0,0,0,0
perl-data-compare,0,0,0,0,0,0
fuse,2,0,5,2,1,9
gpm,1,0,5,7,1,13
corosync,0,0,0,4,1,4
perl-readonly,0,1,0,0,1,1
python-sentinels,0,0,0,0,0,0
perl-datetime-timezone-tzfile,0,0,0,0,0,0
perl-net-libidn,1,0,0,0,1,1
oddjob,0,0,2,1,1,3
python-docstring-parser,0,0,0,0,0,0
python-natsort,0,0,0,0,0,0
python-pytest-freezegun,0,0,0,0,0,0
perl-config-zomg,0,0,0,0,0,0
perl-io-html,0,0,1,0,1,1
rubygem-creole,0,0,0,0,0,0
djvulibre,4,2,3,2,1,11
perl-xml-sax,1,0,0,0,1,1
perl-tie-ixhash,0,0,0,0,0,0
spice-vdagent,0,0,1,0,1,1
tpm2-abrmd,0,0,0,0,0,0
cim-schema,0,0,0,0,0,0
apache-commons-jxpath,1,0,0,0,1,1
sbd,3,0,0,2,1,5
python-pytest-fixture-config,0,0,0,0,0,0
python-matplotlib-inline,0,0,0,0,0,0
rubygem-mocha,0,0,0,0,0,0
pyatspi,0,0,0,0,0,0
hunspell-id,0,0,0,0,0,0
perl-module-install-githubmeta,0,0,0,0,0,0
orbit2,4,0,2,3,1,9
system-config-language,0,0,0,0,0,0
openni,10,0,1,2,1,13
perl-namespace-autoclean,0,0,0,0,0,0
fontconfig,1,0,6,0,1,7
mod_fcgid,0,0,3,1,1,4
perl-module-load,0,0,0,0,0,0
perl-file-chdir,0,0,0,0,0,0
tidy,0,0,0,2,1,2
python-speg,0,0,0,0,0,0
perl-xml-writer,0,0,0,0,0,0
python-parse_type,0,0,0,0,0,0
dietlibc,1,0,1,0,1,2
totem-pl-parser,0,0,1,0,1,1
hunspell-nl,0,0,0,0,0,0
xfwm4,0,0,0,0,0,0
perl-module-runtime,0,0,0,0,0,0
sane-frontends,2,0,5,1,1,8
abi-dumper,0,0,0,0,0,0
perl-data-uniqid,0,0,0,0,0,0
gnome-icon-theme,0,0,0,0,0,0
nss-mdns,0,0,2,0,1,2
lightdm-gtk,3,0,0,0,1,3
perl-net-ssleay,0,0,1,0,1,1
rubygem-kramdown,0,0,0,0,0,0
libkeepalive,4,0,1,0,1,5
trousers,0,0,4,0,1,4
hunspell-la,0,0,0,0,0,0
radvd,0,0,0,1,1,1
libisofs,1,0,1,0,1,2
python-astor,0,0,0,0,0,0
xvattr,2,0,1,1,1,4
libxcvt,0,0,0,0,0,0
fros,5,0,0,0,1,5
r-car,0,0,0,0,0,0
help2man,0,0,0,0,0,0
python-click,0,0,0,0,0,0
perl-gssapi,0,0,1,0,1,1
perl-snmp_session,1,0,0,0,1,1
transfig,0,0,0,0,0,0
perl-io-all,0,0,0,0,0,0
xstream,0,0,0,2,1,2
libshout,2,0,0,0,1,2
tcllib,0,0,0,1,1,1
hyphen-fr,0,0,0,0,0,0
python-hatch-fancy-pypi-readme,0,0,0,0,0,0
xsane,16,0,3,1,1,20
python-wsproto,0,0,0,0,0,0
ttmkfdir,10,0,3,2,1,15
chrpath,0,0,0,1,1,1
python-logutils,0,0,1,0,1,1
python-rcssmin,0,0,0,0,0,0
dwz,0,0,1,0,1,1
hspell,1,0,0,0,1,1
gdbm,0,0,0,9,1,9
oldstandard-sfd-fonts,0,0,0,0,0,0
mt-st,0,0,0,0,0,0
enscript,6,0,3,0,1,9
rubygem-pdf-inspector,0,0,0,0,0,0
python-ddt,0,0,0,0,0,0
perl-app-fatpacker,0,0,0,0,0,0
volume_key,0,0,2,0,1,2
python-pydocstyle,0,0,0,0,0,0
perl-exception-class,0,0,0,0,0,0
jdepend,0,0,0,0,0,0
python-ply,0,0,1,0,1,1
